original,corrected,id
anomy,anomie,59361
condened,condemned,206881
anomie,anomy,233194
anarcosocial-communism,anarchosocial-communism,331338
AUTHROTITY,AUTHORTITY,331773
labor,labour,333947
ancien,ancient,361777
archos,archi,362628
convention,conventional,364851
Acording,According,386214
fictin,fiction,673395
article,articles,805503
Uraguay,Uruguay,826077
anarchism,Aarchism,849256
anarchi-socialists,anarcho-socialists,851287
heirarchy,hierarchy,1343170
organised,organized,2117982
heirarchy,hierarchy,2117982
captialism,capitalism,2117982
trough,through,2131878
generaly,generally,2182099
tradition,traditional,2182099
Christain,Christian,2208652
Christain,Christian,2208652
occured,occurred,2273099
primitavists,primitivists,2536903
politic,politi,2540283
estoic,stoic,2593219
videly,widely,2603070
nations,nation,2615438
recognised,recognized,2755650
organised,organized,2755650
polytical,political,2755650
infuence,influence,2755650
volontary,voluntary,2755650
premiss,premise,2755650
organisation,organization,2755650
communites,communities,2755650
synthesised,synthesized,2755650
equalled,equaled,2755650
industrialised,industrialized,2755650
civilisation,civilization,2755650
prominant,prominent,2755650
existance,existence,2755650
Argentinian,Argentinean,2755650
organisation,organization,2755650
argentinian,Argentinean,2755650
sucessful,successful,2755650
organised,organized,2755650
organisation,organization,2755650
organising,organizing,2755650
organising,organizing,2755650
foriegn,foreign,2755650
prationoners,practitioners,2755650
philosphy,philosophy,2755650
Organisation,Organization,2755650
anarchists,anarchist,2867232
anarchy,anarchism,2924909
anarchism,anarchy,3001884
heirarchy,hierarchy,3184698
Enragï¿½s,Enragés,3443429
Umanitï¿½,Umanità,3443429
trasitioning,transitioning,3490946
contrastinga,contrasting,3527454
pproach,approach,3527454
cooperation,co-operation,3846028
cooperation,co-operation,3846028
cooperatives,co-operatives,3846028
coordinated,co-ordinated,3846028
coordinated,co-ordinated,3846028
bring,brings,3847495
non-authortarian,non-authoritarian,4124079
Goverment,Government,4284309
Catalunya,Catalonia,4314248
communist,communists,4314248
anarchic,anarchist,5417105
betwen,between,5417283
co-operation,cooperation,5433652
policeman,policemen,5707970
manner,maner,6197161
original,corrected,id
anomy,anomie,59361
condened,condemned,206881
anomie,anomy,233194
anarcosocial-communism,anarchosocial-communism,331338
AUTHROTITY,AUTHORTITY,331773
labor,labour,333947
ancien,ancient,361777
archos,archi,362628
convention,conventional,364851
Acording,According,386214
fictin,fiction,673395
article,articles,805503
Uraguay,Uruguay,826077
anarchism,Aarchism,849256
anarchi-socialists,anarcho-socialists,851287
heirarchy,hierarchy,1343170
organised,organized,2117982
heirarchy,hierarchy,2117982
captialism,capitalism,2117982
trough,through,2131878
generaly,generally,2182099
tradition,traditional,2182099
Christain,Christian,2208652
Christain,Christian,2208652
occured,occurred,2273099
primitavists,primitivists,2536903
politic,politi,2540283
estoic,stoic,2593219
videly,widely,2603070
nations,nation,2615438
recognised,recognized,2755650
organised,organized,2755650
polytical,political,2755650
infuence,influence,2755650
volontary,voluntary,2755650
premiss,premise,2755650
organisation,organization,2755650
communites,communities,2755650
synthesised,synthesized,2755650
equalled,equaled,2755650
industrialised,industrialized,2755650
civilisation,civilization,2755650
prominant,prominent,2755650
existance,existence,2755650
Argentinian,Argentinean,2755650
organisation,organization,2755650
argentinian,Argentinean,2755650
sucessful,successful,2755650
organised,organized,2755650
organisation,organization,2755650
organising,organizing,2755650
organising,organizing,2755650
foriegn,foreign,2755650
prationoners,practitioners,2755650
philosphy,philosophy,2755650
Organisation,Organization,2755650
anarchists,anarchist,2867232
anarchy,anarchism,2924909
anarchism,anarchy,3001884
heirarchy,hierarchy,3184698
Enragï¿½s,Enragés,3443429
Umanitï¿½,Umanità,3443429
trasitioning,transitioning,3490946
contrastinga,contrasting,3527454
pproach,approach,3527454
cooperation,co-operation,3846028
cooperation,co-operation,3846028
cooperatives,co-operatives,3846028
coordinated,co-ordinated,3846028
coordinated,co-ordinated,3846028
bring,brings,3847495
non-authortarian,non-authoritarian,4124079
Goverment,Government,4284309
Catalunya,Catalonia,4314248
communist,communists,4314248
anarchic,anarchist,5417105
betwen,between,5417283
co-operation,cooperation,5433652
policeman,policemen,5707970
manner,maner,6197161
anarcho-feminists,anarcha-feminists,7725095
Anarchosyndicalism,anarcho-syndicalism,7734373
socialists,socialism,7734373
proofen,proven,7734373
Therefor,Therefore,7734373
ndash,mdash,7734373
ndash,mdash,7734373
non-violence,nonviolence,7734373
non-violent,nonviolent,7734373
Altough,Although,7806215
anarcho-capitalistism,anarcho-capitalism,8203916
socialists,socialism,8225107
prefered,preferred,8370813
Ukrain,Ukraine,8400799
Ukrain,Ukraine,8400799
Ukrain,Ukraine,8433625
buidling,building,8792451
parallell,parallel,8792451
Austrilia,Australia,9003107
overthrough,overthrow,9509285
beleifs,beliefs,9509285
contronting,confronting,9509285
presense,presence,9509285
protestors,protesters,9509285
corportations,corporations,9509285
Soliders,Soldiers,9509285
committiees,committees,9509285
distrubuting,distributing,9509285
imformation,information,9509285
influencial,influential,9509285
Commitee,Committee,9509285
Maintance,Maintenance,9509285
inlcuded,included,9509285
avocating,advocating,9509285
disapper,disappear,9509285
coucils,councils,9509285
largerly,largely,9509285
destiney,destiny,9509285
anarchosyndicalist,anarcho-syndicalist,9509285
recentally,recently,9509285
Historicaly,Historically,9509285
controled,controlled,9509285
insurrecionary,insurrectionary,9509285
critized,criticized,9509285
practises,practices,9509285
implicts,inflicts,9509285
rerupted,erupted,9627936
Isrealie,Israeli,9669486
particpated,participated,9699003
sever,severe,9798253
anarhcists,anarchists,10349800
throughtout,throughout,10354749
activits,activists,10372990
1936-9,1936-1939,10398605
generaly,generally,10561508
allready,already,10573394
crtique,critique,10592005
exapmle,example,10767924
resourses,resources,10778573
captialism,capitalism,11070308
nieghborhoods,neighborhoods,11260011
Unibomber,Unabomber,11948227
Ukrainean,Ukrainian,12052912
anarchim,anarchism,12116310
socieities,societies,12405854
destorying,destroying,12685758
adhear,adhere,13825163
premiss,premise,14265357
hierarchal,hierarchical,14265357
varient,variant,14265357
self-managament,self-management,14265357
insitutions,institutions,14265357
theroetical,theoretical,14265357
socities,societies,14265357
socities,societies,14265357
fufillment,fulfillment,14265357
dwindel,dwindle,14265357
reneg,renege,14265357
anarcho-syndicalism,anarcho-syndicalists,14707004
proptery,property,14717633
anarcho-capitalism,anarcho-capitalist,14717633
understood,misunderstood,18281931
misunderstood,understood,18283729
permissable,permissible,18347247
Gustav,Gustave,18367734
ballets,ballots,18409679
Ricardo,Richard,18443500
subjectivist,subjective,18507049
subjectivist,subjective,18507396
permissable,permissible,18558337
imperitive,imperative,18558337
centralizd,centralized,18566477
archon,archon\,18578806
Workingmen,Workingmen\,18578806
Magón,Mag�n,18578806
Godwin,Godwin\,18578806
Proudhon,Proudhon\,18578806
Stirner,Stirner\,18578806
Tucker,Tucker\,18578806
Kropotkin,Kropotkin\,18578806
1960s,1960s\,18578806
Workers,Workers\,18578806
workers,workers\,18578806
Confederación,Confederaci�n,18578806
Confederación,Confederaci�n,18578806
anarchism,anarchism\,18578806
'primitive,\'primitive\,18578806
world,world\,18578806
'eco-anarchists,\'eco-anarchists\,18578806
'locking,\'locking,18578806
Newman,Newman\,18578806
Infoshop.org,Infoshop.org\,18578806
elite,elite\,18578806
Tolstoy,Tolstoy\,18578806
Proudhon,Proudhon\,18578806
McKinley,McKinley\,18578806
Tolstoy,Tolstoy\,18578806
ballots,ballets,18581569
Narvison,Narveson,18647440
north-east,northeast,18750471
refered,referred,18750471
judgement,judgment,18750471
ballots,ballets,18890809
ballets,ballots,18896624
ballets,ballots,18951373
ballets,ballots,18966671
ballets,ballots,18968644
psuedo-anarchism,pseudo-anarchism,18988181
calls,called,19020416
permissable,permissible,19164727
hierarchal,hierarchical,19334838
posession,possession,19472441
effected,affected,19751591
etmology,etymology,19752762
devloped,developed,20025541
permissible,permissable,20115959
imperative,imperitive,20115959
ballots,ballets,20115959
permissible,permissable,20587118
imperative,imperitive,20587118
ballots,ballets,20587118
permissible,permissable,20589058
imperative,imperitive,20589058
ballots,ballets,20589058
permissable,permissible,20590418
imperitive,imperative,20590418
ballets,ballots,20590418
permissible,permissable,20590658
imperative,imperitive,20590658
ballots,ballets,20590658
permissible,permissable,20590959
imperative,imperitive,20590959
ballots,ballets,20590959
permissable,permissible,20594279
imperitive,imperative,20594279
ballets,ballots,20594279
permissable,permissible,20598669
imperitive,imperative,20598669
ballets,ballots,20598669
permissible,permissable,20627492
imperative,imperitive,20627492
ballots,ballets,20627492
permissable,permissible,20629860
imperitive,imperative,20629860
ballets,ballots,20629860
Godwin\,Godwin\\\,20664863
Proudhon\,Proudhon\\\,20664863
Stirner\,Stirner\\\,20664863
Tucker\,Tucker\\\,20664863
Kropotkin\,Kropotkin\\\,20664863
workers\,workers\\\,20664863
Newman\,Newman\\\,20664863
shouldn\'t,shouldn\\\'t,20664863
Infoshop.org\,Infoshop.org\\\,20664863
Workingmen\,Workingmen,20669249
Godwin\\\,Godwin,20669249
Proudhon\\\,Proudhon,20669249
Stirner\\\,Stirner,20669249
Tucker\\\,Tucker,20669249
Kropotkin\\\,Kropotkin,20669249
workers\\\,workers,20669249
Infoshop.org\\\,Infoshop.org,20669249
\'foreign,'foreign,20669249
policy\,policy,20669249
Tolstoy\,Tolstoy,20669249
Proudhon\,Proudhon,20669249
McKinley\,McKinley,20669249
Tolstoy\,Tolstoy,20669249
mercantalism,mercantilism,20714843
do-it-yourselg,do-it-yourself,21594460
Euopre,Europe,22050989
anarcia,anarchia,22207599
organising,organizing,22897852
withotu,without,22964779
Individualists,Individualist,23332837
equaled,equalled,23541210
Individualists,Individualist,23846639
equalled,equaled,23846639
assassination,assasination,23846639
assassination,assasination,23846639
equaled,equalled,23847383
assasination,assassination,23847383
assasination,assassination,23847383
equaled,equalled,23941179
assasination,assassination,23941179
assasination,assassination,23941179
psuedo-anarchism,pseudo-anarchism,24006602
Nihilist,Nihilists,24550442
Fraction,Faction,24550442
ballets,ballots,25411477
Felix,Félix,26402027
socilaist,socialist,26561824
Felix,Félix,26839869
Felix,Félix,26902183
